Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_deg,boom_to_arm_deg,arm_to_bucket_deg,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
0,-0.299433,-0.434442,0.371503,-17.1562,-24.8917,21.2856,0,0,-0,0
1,-0.298366,-0.432642,0.370396,-17.0951,-24.7886,21.2221,0.0118506,0.02,-0.0122997,0.1
2,-0.297181,-0.430642,0.369166,-17.0272,-24.674,21.1517,0.0118506,0.02,-0.0122997,0.2
3,-0.295996,-0.428642,0.367936,-16.9593,-24.5594,21.0812,0.0118506,0.02,-0.0122997,0.3
4,-0.294811,-0.426642,0.366706,-16.8914,-24.4448,21.0107,0.0118506,0.02,-0.0122997,0.4
5,-0.293626,-0.424642,0.365476,-16.8235,-24.3302,20.9402,0.0118506,0.02,-0.0122997,0.5
6,-0.292441,-0.422642,0.364246,-16.7556,-24.2156,20.8698,0.0118506,0.02,-0.0122997,0.6
7,-0.291256,-0.420642,0.363016,-16.6877,-24.101,20.7993,0.0118506,0.02,-0.0122997,0.7
8,-0.290071,-0.418642,0.361786,-16.6198,-23.9864,20.7288,0.0118506,0.02,-0.0122997,0.8
9,-0.288886,-0.416642,0.360556,-16.5519,-23.8718,20.6584,0.0118506,0.02,-0.0122997,0.9
10,-0.287701,-0.414642,0.359326,-16.484,-23.7572,20.5879,0.0118506,0.02,-0.0122997,1
11,-0.286516,-0.412642,0.358096,-16.4161,-23.6426,20.5174,0.0118506,0.02,-0.0122997,1.1
12,-0.285331,-0.410642,0.356866,-16.3482,-23.5281,20.4469,0.0118506,0.02,-0.0122997,1.2
13,-0.284146,-0.408642,0.355636,-16.2804,-23.4135,20.3765,0.0118506,0.02,-0.0122997,1.3
14,-0.282961,-0.406642,0.354406,-16.2125,-23.2989,20.306,0.0118506,0.02,-0.0122997,1.4
15,-0.281776,-0.404642,0.353176,-16.1446,-23.1843,20.2355,0.0118506,0.02,-0.0122997,1.5
16,-0.280591,-0.402642,0.351946,-16.0767,-23.0697,20.165,0.0118506,0.02,-0.0122997,1.6
17,-0.279405,-0.400642,0.350716,-16.0088,-22.9551,20.0946,0.0118506,0.02,-0.0122997,1.7
18,-0.27822,-0.398642,0.349487,-15.9409,-22.8405,20.0241,0.0118506,0.02,-0.0122997,1.8
19,-0.277035,-0.396642,0.348257,-15.873,-22.7259,19.9536,0.0118506,0.02,-0.0122997,1.9
20,-0.27585,-0.394642,0.347027,-15.8051,-22.6113,19.8832,0.0118506,0.02,-0.0122997,2
21,-0.274665,-0.392642,0.345797,-15.7372,-22.4967,19.8127,0.0118506,0.02,-0.0122997,2.1
22,-0.27348,-0.390642,0.344567,-15.6693,-22.3821,19.7422,0.0118506,0.02,-0.0122997,2.2
23,-0.272295,-0.388642,0.343337,-15.6014,-22.2675,19.6717,0.0118506,0.02,-0.0122997,2.3
24,-0.27111,-0.386642,0.342107,-15.5335,-22.153,19.6013,0.0118506,0.02,-0.0122997,2.4
25,-0.269925,-0.384642,0.340877,-15.4656,-22.0384,19.5308,0.0118506,0.02,-0.0122997,2.5
26,-0.26874,-0.382642,0.339647,-15.3977,-21.9238,19.4603,0.0118506,0.02,-0.0122997,2.6
27,-0.267555,-0.380642,0.338417,-15.3298,-21.8092,19.3899,0.0118506,0.02,-0.0122997,2.7
28,-0.26637,-0.378642,0.337187,-15.2619,-21.6946,19.3194,0.0118506,0.02,-0.0122997,2.8
29,-0.265185,-0.376642,0.335957,-15.194,-21.58,19.2489,0.0118506,0.02,-0.0122997,2.9
30,-0.264,-0.374642,0.334727,-15.1261,-21.4654,19.1784,0.0118506,0.02,-0.0122997,3
31,-0.262815,-0.372642,0.333497,-15.0582,-21.3508,19.108,0.0118506,0.02,-0.0122997,3.1
32,-0.26163,-0.370642,0.332267,-14.9903,-21.2362,19.0375,0.0118506,0.02,-0.0122997,3.2
33,-0.260445,-0.368642,0.331037,-14.9224,-21.1216,18.967,0.0118506,0.02,-0.0122997,3.3
34,-0.259259,-0.366642,0.329807,-14.8545,-21.007,18.8965,0.0118506,0.02,-0.0122997,3.4
35,-0.258074,-0.364642,0.328577,-14.7866,-20.8924,18.8261,0.0118506,0.02,-0.0122997,3.5
36,-0.256889,-0.362642,0.327347,-14.7187,-20.7779,18.7556,0.0118506,0.02,-0.0122997,3.6
37,-0.255704,-0.360642,0.326117,-14.6508,-20.6633,18.6851,0.0118506,0.02,-0.0122997,3.7
38,-0.254519,-0.358642,0.324887,-14.5829,-20.5487,18.6147,0.0118506,0.02,-0.0122997,3.8
39,-0.253334,-0.356642,0.323657,-14.515,-20.4341,18.5442,0.0118506,0.02,-0.0122997,3.9
40,-0.252149,-0.354642,0.322427,-14.4471,-20.3195,18.4737,0.0118506,0.02,-0.0122997,4
41,-0.250964,-0.352642,0.321197,-14.3792,-20.2049,18.4032,0.0118506,0.02,-0.0122997,4.1
42,-0.249779,-0.350642,0.319967,-14.3113,-20.0903,18.3328,0.0118506,0.02,-0.0122997,4.2
43,-0.248594,-0.348642,0.318737,-14.2434,-19.9757,18.2623,0.0118506,0.02,-0.0122997,4.3
44,-0.247409,-0.346642,0.317507,-14.1755,-19.8611,18.1918,0.0118506,0.02,-0.0122997,4.4
45,-0.246224,-0.344642,0.316277,-14.1076,-19.7465,18.1214,0.0118506,0.02,-0.0122997,4.5
46,-0.245039,-0.342642,0.315047,-14.0397,-19.6319,18.0509,0.0118506,0.02,-0.0122997,4.6
47,-0.243854,-0.340642,0.313817,-13.9718,-19.5173,17.9804,0.0118506,0.02,-0.0122997,4.7
48,-0.242669,-0.338642,0.312587,-13.9039,-19.4028,17.9099,0.0118506,0.02,-0.0122997,4.8
49,-0.241484,-0.336642,0.311357,-13.836,-19.2882,17.8395,0.0118506,0.02,-0.0122997,4.9
50,-0.240298,-0.334642,0.310127,-13.7681,-19.1736,17.769,0.0118506,0.02,-0.0122997,5
51,-0.239113,-0.332642,0.308897,-13.7002,-19.059,17.6985,0.0118506,0.02,-0.0122997,5.1
52,-0.237928,-0.330642,0.307667,-13.6323,-18.9444,17.628,0.0118506,0.02,-0.0122997,5.2
53,-0.236743,-0.328642,0.306437,-13.5644,-18.8298,17.5576,0.0118506,0.02,-0.0122997,5.3
54,-0.235558,-0.326642,0.305208,-13.4965,-18.7152,17.4871,0.0118506,0.02,-0.0122997,5.4
55,-0.234373,-0.324642,0.303978,-13.4286,-18.6006,17.4166,0.0118506,0.02,-0.0122997,5.5
56,-0.233188,-0.322642,0.302748,-13.3607,-18.486,17.3462,0.0118506,0.02,-0.0122997,5.6
57,-0.232003,-0.320642,0.301518,-13.2928,-18.3714,17.2757,0.0118506,0.02,-0.0122997,5.7
58,-0.230818,-0.318642,0.300288,-13.2249,-18.2568,17.2052,0.0118506,0.02,-0.0122997,5.8
59,-0.229633,-0.316642,0.299058,-13.157,-18.1423,17.1347,0.0118506,0.02,-0.0122997,5.9
60,-0.228448,-0.314642,0.297828,-13.0891,-18.0277,17.0643,0.0118506,0.02,-0.0122997,6
61,-0.227263,-0.312642,0.296598,-13.0212,-17.9131,16.9938,0.0118506,0.02,-0.0122997,6.1
62,-0.226078,-0.310642,0.295368,-12.9533,-17.7985,16.9233,0.0118506,0.02,-0.0122997,6.2
63,-0.224893,-0.308642,0.294138,-12.8854,-17.6839,16.8529,0.0118506,0.02,-0.0122997,6.3
64,-0.223708,-0.306642,0.292908,-12.8175,-17.5693,16.7824,0.0118506,0.02,-0.0122997,6.4
65,-0.222523,-0.304642,0.291678,-12.7496,-17.4547,16.7119,0.0118506,0.02,-0.0122997,6.5
66,-0.221338,-0.302642,0.290448,-12.6817,-17.3401,16.6414,0.0118506,0.02,-0.0122997,6.6
67,-0.220152,-0.300642,0.289218,-12.6138,-17.2255,16.571,0.0118506,0.02,-0.0122997,6.7
68,-0.218967,-0.298642,0.287988,-12.5459,-17.1109,16.5005,0.0118506,0.02,-0.0122997,6.8
69,-0.217782,-0.296642,0.286758,-12.478,-16.9963,16.43,0.0118506,0.02,-0.0122997,6.9
70,-0.216597,-0.294642,0.285528,-12.4101,-16.8817,16.3595,0.0118506,0.02,-0.0122997,7
71,-0.215412,-0.292642,0.284298,-12.3422,-16.7672,16.2891,0.0118506,0.02,-0.0122997,7.1
72,-0.214227,-0.290642,0.283068,-12.2743,-16.6526,16.2186,0.0118506,0.02,-0.0122997,7.2
73,-0.213042,-0.288642,0.281838,-12.2064,-16.538,16.1481,0.0118506,0.02,-0.0122997,7.3
74,-0.211857,-0.286642,0.280608,-12.1385,-16.4234,16.0777,0.0118506,0.02,-0.0122997,7.4
75,-0.210672,-0.284642,0.279378,-12.0706,-16.3088,16.0072,0.0118506,0.02,-0.0122997,7.5
76,-0.209487,-0.282642,0.278148,-12.0027,-16.1942,15.9367,0.0118506,0.02,-0.0122997,7.6
77,-0.208302,-0.280642,0.276918,-11.9348,-16.0796,15.8662,0.0118506,0.02,-0.0122997,7.7
78,-0.207117,-0.278642,0.275688,-11.8669,-15.965,15.7958,0.0118506,0.02,-0.0122997,7.8
79,-0.205932,-0.276642,0.274458,-11.799,-15.8504,15.7253,0.0118506,0.02,-0.0122997,7.9
80,-0.204747,-0.274642,0.273228,-11.7311,-15.7358,15.6548,0.0118506,0.02,-0.0122997,8
81,-0.203562,-0.272642,0.271998,-11.6632,-15.6212,15.5844,0.0118506,0.02,-0.0122997,8.1
82,-0.202377,-0.270642,0.270768,-11.5953,-15.5066,15.5139,0.0118506,0.02,-0.0122997,8.2
83,-0.201192,-0.268642,0.269538,-11.5274,-15.3921,15.4434,0.0118506,0.02,-0.0122997,8.3
84,-0.200006,-0.266642,0.268308,-11.4595,-15.2775,15.3729,0.0118506,0.02,-0.0122997,8.4
