Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
0,0.048599,-0.369322,0.763999,0,0,-0,0
1,0.0488041,-0.369105,0.76086,0.00261304,0.00276204,-0.04,0.1
2,0.0490654,-0.368829,0.75686,0.00261304,0.00276204,-0.04,0.2
3,0.0493267,-0.368553,0.75286,0.00261304,0.00276204,-0.04,0.3
4,0.049588,-0.368276,0.74886,0.00261304,0.00276204,-0.04,0.4
5,0.0498493,-0.368,0.74486,0.00261304,0.00276204,-0.04,0.5
6,0.0501106,-0.367724,0.74086,0.00261304,0.00276204,-0.04,0.6
7,0.0503719,-0.367448,0.73686,0.00261304,0.00276204,-0.04,0.7
8,0.0506332,-0.367172,0.73286,0.00261304,0.00276204,-0.04,0.8
9,0.0508945,-0.366895,0.72886,0.00261304,0.00276204,-0.04,0.9
10,0.0511558,-0.366619,0.72486,0.00261304,0.00276204,-0.04,1
11,0.0514171,-0.366343,0.72086,0.00261304,0.00276204,-0.04,1.1
12,0.0516784,-0.366067,0.71686,0.00261304,0.00276204,-0.04,1.2
13,0.0519397,-0.365791,0.71286,0.00261304,0.00276204,-0.04,1.3
14,0.052201,-0.365514,0.70886,0.00261304,0.00276204,-0.04,1.4
15,0.0524623,-0.365238,0.70486,0.00261304,0.00276204,-0.04,1.5
16,0.0527236,-0.364962,0.70086,0.00261304,0.00276204,-0.04,1.6
17,0.0529849,-0.364686,0.69686,0.00261304,0.00276204,-0.04,1.7
18,0.0532462,-0.364409,0.69286,0.00261304,0.00276204,-0.04,1.8
19,0.0535076,-0.364133,0.68886,0.00261304,0.00276204,-0.04,1.9
20,0.0537689,-0.363857,0.68486,0.00261304,0.00276204,-0.04,2
21,0.0540302,-0.363581,0.68086,0.00261304,0.00276204,-0.04,2.1
22,0.0542915,-0.363305,0.67686,0.00261304,0.00276204,-0.04,2.2
23,0.0545528,-0.363028,0.67286,0.00261304,0.00276204,-0.04,2.3
24,0.0548141,-0.362752,0.66886,0.00261304,0.00276204,-0.04,2.4
25,0.0550754,-0.362476,0.66486,0.00261304,0.00276204,-0.04,2.5
26,0.0553367,-0.3622,0.66086,0.00261304,0.00276204,-0.04,2.6
27,0.055598,-0.361924,0.65686,0.00261304,0.00276204,-0.04,2.7
28,0.0558593,-0.361647,0.65286,0.00261304,0.00276204,-0.04,2.8
29,0.0561206,-0.361371,0.64886,0.00261304,0.00276204,-0.04,2.9
30,0.0563819,-0.361095,0.64486,0.00261304,0.00276204,-0.04,3
31,0.0566432,-0.360819,0.64086,0.00261304,0.00276204,-0.04,3.1
32,0.0569045,-0.360543,0.63686,0.00261304,0.00276204,-0.04,3.2
33,0.0571658,-0.360266,0.63286,0.00261304,0.00276204,-0.04,3.3
34,0.0574271,-0.35999,0.62886,0.00261304,0.00276204,-0.04,3.4
35,0.0576884,-0.359714,0.62486,0.00261304,0.00276204,-0.04,3.5
36,0.0579497,-0.359438,0.62086,0.00261304,0.00276204,-0.04,3.6
37,0.058211,-0.359162,0.61686,0.00261304,0.00276204,-0.04,3.7
38,0.0584723,-0.358885,0.61286,0.00261304,0.00276204,-0.04,3.8
39,0.0587336,-0.358609,0.60886,0.00261304,0.00276204,-0.04,3.9
40,0.0589949,-0.358333,0.60486,0.00261304,0.00276204,-0.04,4
41,0.0592562,-0.358057,0.60086,0.00261304,0.00276204,-0.04,4.1
42,0.0595175,-0.357781,0.59686,0.00261304,0.00276204,-0.04,4.2
43,0.0597789,-0.357504,0.59286,0.00261304,0.00276204,-0.04,4.3
44,0.0600402,-0.357228,0.58886,0.00261304,0.00276204,-0.04,4.4
45,0.0603015,-0.356952,0.58486,0.00261304,0.00276204,-0.04,4.5
46,0.0605628,-0.356676,0.58086,0.00261304,0.00276204,-0.04,4.6
47,0.0608241,-0.3564,0.57686,0.00261304,0.00276204,-0.04,4.7
48,0.0610854,-0.356123,0.57286,0.00261304,0.00276204,-0.04,4.8
49,0.0613467,-0.355847,0.56886,0.00261304,0.00276204,-0.04,4.9
50,0.061608,-0.355571,0.56486,0.00261304,0.00276204,-0.04,5
51,0.0618693,-0.355295,0.56086,0.00261304,0.00276204,-0.04,5.1
52,0.0621306,-0.355019,0.55686,0.00261304,0.00276204,-0.04,5.2
53,0.0623919,-0.354742,0.55286,0.00261304,0.00276204,-0.04,5.3
54,0.0626532,-0.354466,0.54886,0.00261304,0.00276204,-0.04,5.4
